Name,ID,NeedCheck,NeedCheeck
목화식당휴게소,35436140,False,
은희네해장국중문점,,,True
베케,1986557769,False,
맥도날드서귀포DT점,32358604,True,
애플망고1947,1183779572,False,
카페이피엘,1991440455,True,
산방식당,13444899,False,
횟집학개론,1542639862,False,
중문고등어쌈밥,1621910491,False,
다정이네김밥올레시장본점,34069430,False,
복자씨연탄구이,35769744,False,
만덕이네,16963907,False,
다정이네김밥서귀포신시가지점,1484078519,False,
뽈살집제주본점,16898812,False,
뷰스트,1106105460,False,
바다를본돼지제주서귀포점,1258606233,True,
당케올레국수,539589455,False,
순천미향제주산방산본점 [한식],16958513,False,
은희네해장국서귀포점,35089491,False,
오늘은녹차한잔&쇼핑,35044616,True,
난드르바당,36919633,False,
맥도날드제주월드컵스타디움DT점,36794670,True,
88버거,37698735,False,
젠하이드어웨이서귀포점,,,True
벙커하우스,1160705436,False,
표선수산마트,19932902,False,
해왓,1018684874,False,
M1971,1953276134,True,
봉순이네흑돼지,16934117,False,
스타벅스제주신화월드R점,1086337889,False,
한라전복,197191696,False,
너븐카페,1274239322,False,
오가네전복설렁탕서귀포본점,,,True
큰돈가중문점,,,True
중문보말칼국수,1173076105,False,
고등어쌈밥,19872990,True,
돌담흑돼지중문,1038108444,False,
도렐제주본점,525595743,True,
제주김만복성산점,1734803287,False,
어진이네횟집,1931182602,False,
성산봄죽칼국수성산점,1351670584,False,
홍성방[중식],16938848,False,
브라보비치,1195073144,False,
해심가든,13444932,False,
검은여식당,32166269,False,
스타벅스제주에듀시티점,385244477,False,
수애기베이커리,1288889499,False,
카페UDA,1858770161,False,
중문색달통갈치,1417642003,True,
달팽이식당[한식],1039316758,False,
레몬뮤지엄with한우영갤러리,,,True
아서원[중식],16921320,True,
옥돔식당[한식],13444912,False,
올레마당,37673553,False,
섬마을운정이네[한식],36876360,False,
덤장중문점,13444887,False,
보래드베이커스,1101231772,False,
모모언니바다간식,1035148658,False,
카페아오오,1767660317,False,
수우동쇠소깍직영점,,,True
표선우동가게,1250319244,False,
삼보식당,19873072,False,
로빙화,810995268,False,
친봉산장,221208242,False,
홉히,1018800146,False,
대기정,13444885,False,
칠돈가표선직영점,37182840,False,
호랑호랑,1920330451,True,
광어다,1553101154,False,
제주호랭이사계점,1320984906,False,
어니스트밀크본점,1561901434,False,
스시망고,1475860849,False,
중문해물라면오빠네,37869454,False,
예원이네은갈치조림,1946252018,False,
코코티에,1808859945,False,
망고레이섭지코지점,35902717,False,
형제도식당본점,,True,
지은이네밥상,37633907,False,
섭지코지로,38257480,False,
중문신시가지노릇,,,True
식과함께,1610678174,False,
까망돼지중문점,34818244,False,
커피스케치,1171390940,False,
제주한라국수,16928656,False,
제주곶,1578917071,False,
벨진밧,1371105645,False,
용이식당,11613269,False,
온더스톤카페,1541873670,False,
남경미락,11541774,False,
화고신시가지점,1833570050,False,
돈어길,1109562905,False,
문치비,36132962,False,
