id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount
11840561,2203,1218,4.15,2203,"[{'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 18, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 29, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 285, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 136, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 792, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 89, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 77, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 84, 'score': None, '__typename': 'VisitorReviewScore'}]",329,1772,792.0,1424,671,652
1649804520,3014,1654,4.45,3014,"[{'count': 239, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1016, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 25, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 458, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 92, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 94, 'score': None, '__typename': 'VisitorReviewScore'}]",529,2242,1016.0,2895,1194,1134
1519617703,1328,254,4.52,1328,"[{'count': 49, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",688,1120,49.0,4591,1273,1238
1249805999,2671,1091,4.55,2671,"[{'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 49, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1034, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 184, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 61, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 231, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}]",689,2144,1034.0,2461,1123,1108
34625104,3365,2221,4.41,3365,"[{'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1120, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 132, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 565, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 20, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 254, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 142, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}]",239,2491,1120.0,2059,1167,1094
1214681781,452,161,0.0,452,[],193,255,,1265,442,421
37170797,766,469,4.18,766,"[{'count': 150, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 64, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 48, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 57, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 288, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 16, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}]",93,718,288.0,216,108,108
36859834,15329,9395,4.35,15329,"[{'count': 127, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1094, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 595, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 30, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 58, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 621, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 77, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4568, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 53, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2413, 'score': None, '__typename': 'VisitorReviewScore'}]",1789,10890,4568.0,12436,6176,5536
1892828298,1125,586,4.37,1125,"[{'count': 48, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 22, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 257, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 113, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 33, 'score': None, '__typename': 'VisitorReviewScore'}]",239,902,257.0,1502,648,613
36823910,1628,779,4.11,1628,"[{'count': 22, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 30, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 29, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 112, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 56, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 498, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 112, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 29, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 255, 'score': None, '__typename': 'VisitorReviewScore'}]",385,1397,498.0,1179,466,458
11595461,2527,1605,4.26,2527,"[{'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 188, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 27, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 123, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 751, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 127, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 18, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 451, 'score': None, '__typename': 'VisitorReviewScore'}]",264,2091,751.0,1592,852,807
