id,theme_만족도,theme_서비스,theme_메인시설,theme_청결도,theme_부대・공용시설,theme_분위기,theme_위치,theme_가격,theme_전망,theme_수영장,theme_편의・부대시설,theme_시설물관리,theme_작품관람,theme_공연・전시공간,theme_편의시설,theme_작가・출연진,theme_주차,theme_혼잡도,theme_예약,theme_아이만족도,theme_즐길거리,theme_방역,theme_입장,theme_목적,theme_맛,theme_수납,theme_용량,theme_제품구성,theme_관리,theme_메뉴,theme_향기,theme_사이즈,theme_색감,theme_약품・제품,theme_디자인,theme_사용감,theme_연예,theme_색상,theme_실용성,theme_염색,theme_착석감,theme_밀폐력,theme_성능,theme_재질,theme_좌석,theme_음식량,theme_대기시간,theme_음식・조식,theme_비품,theme_배달,theme_콘텐츠,theme_인기도,theme_화장실,theme_컷
876072168,,957.0,,,,,30.0,139.0,,,166.0,6.0,,,,,6.0,21.0,16.0,181.0,220.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11583650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17062513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17063131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17026814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706743615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829863449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11590712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17085499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13491625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13481076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17030591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365089521,610.0,173.0,26.0,8.0,,107.0,6.0,54.0,2.0,,132.0,7.0,26.0,,2.0,,3.0,28.0,6.0,48.0,28.0,2.0,,40.0,39.0,7.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11656926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17086574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025367580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32378272,,348.0,,,,,28.0,278.0,,,255.0,35.0,,,,,3.0,62.0,31.0,1343.0,263.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11720249,,317.0,,,,,3.0,45.0,,,3.0,3.0,,,,,1.0,6.0,27.0,6.0,21.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20367782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20367783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436374298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37749849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089376984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13481272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32401928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17025090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34856943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627931889,,5.0,,,,,,1.0,,,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13481069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425717103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
