original_id,review_id,rating,body,visited,votedKeywords
1584252354,62398c4ab309530050098a03,,"전볻해물뚝배기 + 밥한공기면 정말 든든합니다. 또한 반찬이 짜지않아서 너무 좋아요! 주차장도 넓고 매장도 깨끗해서 또 방문 각이에요 :-)
사장님께서 너무 친절하셔서 또 재방문 의사있답니다",3.22.화,"{'음식이 맛있어요': True, '재료가 신선해요': True, '주차하기 편해요': True, '매장이 청결해요': True}"
1584252354,623590017a6fad0050dd357b,,전복뚝배기에 가리비 들어가 있어서 그런지 진한 국물 너무 좋네요. 반찬도 정갈하고 다양하게 나와서 푸짐하게 잘 먹고 왔어요.,3.17.목,"{'특별한 메뉴가 있어요': True, '음식이 맛있어요': True, '친절해요': True, '주차하기 편해요': True, '매장이 넓어요': True}"
1584252354,6232b25ab309530050adb094,,전복뚝배기 주문했는데 전복 엄청 부드러워요! 뚝배기에 해산물 다양하게 많이들어서 좋아요👍,3.17.목,"{'친절해요': True, '주차하기 편해요': True, '매장이 넓어요': True, '재료가 신선해요': True}"
1584252354,622dcb2fb32ece004ff4848f,,아침식사하기  좋은곳  같아요 문도 일찍열고 매장도 넓어서 편하게 전복뚝배기랑 고등어 구이 먹었어요ㅎ,3.9.수,"{'재료가 신선해요': True, '매장이 넓어요': True, '단체모임 하기 좋아요': True, '혼밥하기 좋아요': True, '주차하기 편해요': True}"
1584252354,5f7f06678c840d0064ba6039,5.0,"갈치조림맛있네요
'대'로시켜야한다는사장님의말씀을듣지않고
'중'으로시켰는데넷이서잘먹었어요
반찬은별로였지만
메인이맛있으니
패ㅡ쑤",20.10.7.수,
1584252354,5e650e6a3345f600107fda2a,3.0,공항에서 리무진 택시 기사님이 데리고 가서 먹었는데 뚝배기보다는 성게미역국 괜찮았습니다.,19.3.7.목,
1584252354,62d48d1be2683d5bc547f0e0,,"전복 이 3마리가 통으로 들어가고 홍합 , 새우 전복 , 바지락 등 각종 해산물이 들어가서 활전복뚝배기가 찐 시원하다!!
밥한그릇 뚝딱~!! 해장으로도 ~~굿~~ 한끼식사로도 굿!! 

연동 ""서울뚝배기"" ",7.17.일,
1584252354,6294c19f458c44e8e45396f0,,"제주공항에서 가까워 접근성도 좋고, 이른 시간부터 영업해서 제주 도착 후 첫 식사로도 좋을듯 해요-! 제주 향토 음식이나 전복뚝배기로 유명한 곳이라 전복 뚝배기를 주문했는데 전복이 생물이라고 하시더라구요. 전복도 부드럽고 비린맛이 없어서 깔끔하게 먹었습니다.
주차 공간도 넓어 주차가 어려운 연동에서 주차 걱정 없이 방문 가능해서 좋았어요!",5.30.월,
1584252354,625d63883951d500508d5ab5,,"제주공항에서 도착하자마자 늦은 점심을 먹기 위해 찾아간 곳이예요. 제주의 맛을 체험하기 위해 3명이서 전복뚝배기 2인분과 고등어구이 1인분 주문했어요.
양도 푸짐하고 고등어크기도 어찌나 큰지, 이 조합으로 먹으니 다양하게 맛볼 수 있어 좋았고 특히 전복뚝배기의 얼큰한 국물맛은 정말 끝내줍니다. 서울뚝배기 전복뚝배기 전복도 실해서 더욱 추천해요^^",4.17.일,
1584252354,62e859338e9575143de743e4,,엄마랑 처음 가봤는데 너무 친절하고 맛있네요! 삭막한 요즘 아주 기분 좋은 식사였습니다 감사합니다,8.2.화,{'친절해요': True}
1584252354,62e29cea6a4e4e9e9d46b131,,맛나요~,7.28.목,"{'음식이 맛있어요': True, '친절해요': True}"
1584252354,62d279045589172c6ea6e4a1,,"배달주문했어요
맛있게잘먹었습니다😊",7.16.토,{'음식이 맛있어요': True}
1584252354,62ca7ea3940ddecb56a9d6e1,,두번째 방문인데 여전히 친절하시고 음식도 다 맛있네요😋,7.10.일,"{'화장실이 깨끗해요': True, '친절해요': True, '매장이 청결해요': True, '음식이 맛있어요': True, '인테리어가 멋져요': True}"
1584252354,62c793e6f71410b0903aea75,,"입구에 바테이블이 있어 혼밥하기 좋아요!
혼밥 자주하는 편이라 식당에 이런 분리된 자리 있으면 자주 방문하게 되더라고요 ㅎㅎ
그리고 무엇보다 음식도 정말 맛있습니다!
나오자마자 떡까스 먹느라 음식 사진이 없네요 ㅎㅎ",7.7.목,"{'친절해요': True, '매장이 청결해요': True, '음식이 맛있어요': True, '양이 많아요': True, '혼밥하기 좋아요': True}"
1584252354,62d7990f62ef786f8f6f3961,,"돈까스 도 먹고 싶고 쫄면 도 먹고 싶고 메밀소바 도 먹고 싶고 파스타 도 먹고 싶을때❣
결정장애올때 왕비돈까스 추천 합니당☺
전 원래 무조건 치돈인데 여기꼬 먹어보고 맘이 바꼈어요 ㅎ
근데 소바에 살얼음이 좀 많았으면 좋겠어요 ㅎㅎ 넘 더워서 ㅜㅜㅋㅋ",6.29.수,"{'음식이 맛있어요': True, '재료가 신선해요': True, '매장이 넓어요': True, '혼밥하기 좋아요': True, '매장이 청결해요': True}"
1584252354,62b8799c810279cd9db33a65,,"두번째 방문인데 아주 맛있고 가성비도 좋아서 
또 오고 싶습니다. 대박나세요👍👍",6.26.일,"{'친절해요': True, '매장이 청결해요': True, '음식이 맛있어요': True, '양이 많아요': True, '가성비가 좋아요': True}"
1584252354,62b7ce1323e1858de92b1421,,,6.26.일,"{'음식이 맛있어요': True, '인테리어가 멋져요': True, '매장이 넓어요': True, '친절해요': True, '매장이 청결해요': True}"
1584252354,62b57b3aab0a263d2488f82a,,"맛있고 깔끔한 식당이에요.
강력 추천!",6.24.금,"{'음식이 맛있어요': True, '특별한 메뉴가 있어요': True, '양이 많아요': True, '재료가 신선해요': True, '인테리어가 멋져요': True}"
1584252354,62b17df6e70d1d9eb5075fa8,,첫 제주 가족여행을 와서 부모님께서 돈까스를 드시고 싶다길래 맛집검색해서 왔는데 정말 맛있어요 부모님이랑 조카들도 너무 맛있게 잘먹더라구요 직원분들도 너무 친절하시고 크림파스타돈까스랑 매콤쫄까스 완전 추천해요!! ,6.21.화,"{'음식이 맛있어요': True, '재료가 신선해요': True, '특별한 메뉴가 있어요': True, '양이 많아요': True, '인테리어가 멋져요': True}"
1584252354,62b1999ef735ec52c932d079,,"냉모밀돈까스 너무너무 맛있어요~🥰🥰
양도 많고 돈까스도 바삭바삭해서 좋았어요
사장님도 친절하셔서 다음에도 또 오고싶네용!!
잘 먹고 갑니당❤️❤️",6.21.화,"{'음식이 맛있어요': True, '양이 많아요': True, '재료가 신선해요': True, '매장이 넓어요': True, '친절해요': True}"
1584252354,62b3a210fe820913cb1e23f1,,"먹은 음식이 다 맛있어요
우리 아이들도 맛있게 잘 먹네용^^
가게도 깔끔하고 직원분들도 너무 친절하세요~~
맛있게 잘 먹고 갑니다❤️",6.21.화,"{'음식이 맛있어요': True, '인테리어가 멋져요': True, '매장이 청결해요': True, '화장실이 깨끗해요': True}"
1584252354,62b1995b5a0c007cbf28edd6,,"너무 맛나욤ㅠㅠㅠㅠㅠㅠ 재방문 의사 10000000% 왕창 많이 먹는 편인데 양도 짱 많고 인테리어도 짱 이쁘고 진짜 왕창 복받으세욤ㅠㅠㅠㅠㅠㅠㅜ 숨겨진 맛집 !! 직원분들, 사장님도 너무 인심이 좋으시고 친절하세욤ㅠㅜㅠㅠ🥺🥺🥺 넘나리 만족합니당 !!💖💖💖",6.21.화,"{'음식이 맛있어요': True, '가성비가 좋아요': True, '인테리어가 멋져요': True, '친절해요': True, '매장이 청결해요': True}"
