id,votedKeywords_시설이 깔끔해요,votedKeywords_주차하기 편해요,votedKeywords_수질 관리가 잘돼요,votedKeywords_탕 종류가 다양해요,votedKeywords_규모가 커요,votedKeywords_친절해요,votedKeywords_가격이 합리적이에요,votedKeywords_편의시설이 잘 되어있어요,votedKeywords_뷰가 좋아요,votedKeywords_아이와 가기 좋아요,votedKeywords_조용히 쉬기 좋아요,votedKeywords_대중교통이 편해요,votedKeywords_인테리어가 멋져요,votedKeywords_산책로가 잘 되어있어요,votedKeywords_깨끗해요,votedKeywords_바비큐 해먹기 좋아요 ,votedKeywords_냉난방이 잘돼요,votedKeywords_취사시설이 잘 되어있어요,votedKeywords_침구가 좋아요,votedKeywords_화장실이 잘 되어있어요,votedKeywords_사진이 잘 나와요,votedKeywords_방음이 잘돼요,votedKeywords_물놀이하기 좋아요,votedKeywords_수업이 체계적이에요,votedKeywords_명상하기 좋아요,votedKeywords_공간이 넓어요,votedKeywords_맞춤 케어를 잘해줘요,votedKeywords_자세를 꼼꼼히 봐주세요,votedKeywords_프로그램이 다양해요,votedKeywords_볼거리가 많아요,votedKeywords_체험 프로그램이 다양해요,votedKeywords_놀이기구가 다양해요,votedKeywords_먹거리가 풍부해요,votedKeywords_전시 테마가 재밌어요,votedKeywords_전시 구성이 알차요,votedKeywords_설명이 잘 되어있어요,votedKeywords_유익해요,votedKeywords_과일이 맛있어요,votedKeywords_신선해요,votedKeywords_원산지 표시가 명확해요,votedKeywords_상품이 다양해요,votedKeywords_매장이 청결해요,votedKeywords_캐디의 진행이 매끄러워요,votedKeywords_클럽하우스가 잘 되어있어요,votedKeywords_필드 상태가 좋아요,votedKeywords_예약 시간을 잘 지켜요,votedKeywords_신기한 식물이 많아요,votedKeywords_화장실이 깨끗해요,votedKeywords_동물 관리가 잘 되어있어요,votedKeywords_안전하게 관리해요,votedKeywords_관리가 잘 되어있어요,votedKeywords_옷이 예뻐요,votedKeywords_사이즈가 다양해요,votedKeywords_옷 관리가 잘 되어있어요,votedKeywords_옷이 다양해요,votedKeywords_상담이 자세해요,votedKeywords_스타일 추천을 잘해줘요,votedKeywords_반납이 편해요,votedKeywords_피크닉하기 좋아요,votedKeywords_말 교육이 잘 되어있어요,votedKeywords_코스가 다양해요,votedKeywords_코스가 길어요,votedKeywords_강습 받기 좋아요,votedKeywords_코스가 변별력 있어요,votedKeywords_거리 측정을 잘해줘요,votedKeywords_그늘집이 잘 되어있어요,votedKeywords_물이 깨끗해요,votedKeywords_최신 장비를 사용해요,votedKeywords_샤워실이 잘 되어있어요,votedKeywords_연습공간이 잘 되어있어요,votedKeywords_맞춤 지도를 잘해줘요,votedKeywords_층고가 높아요,votedKeywords_연습 시간이 자유로워요,votedKeywords_선생님이 열정적이에요,votedKeywords_학생과 소통을 잘해요,votedKeywords_근처에 갈 곳이 많아요,votedKeywords_자연 경관이 좋아요,votedKeywords_커피가 맛있어요,votedKeywords_음료가 맛있어요,votedKeywords_집중하기 좋아요,votedKeywords_대화하기 좋아요,votedKeywords_가성비가 좋아요,votedKeywords_특별한 메뉴가 있어요,votedKeywords_좌석이 편해요,votedKeywords_디저트가 맛있어요,votedKeywords_프로그램 구성이 알차요,votedKeywords_음식이 맛있어요,votedKeywords_휴게공간이 잘 되어있어요,votedKeywords_놀거리가 많아요,votedKeywords_음악이 좋아요,votedKeywords_단체모임 하기 좋아요,votedKeywords_대기공간이 잘 되어있어요,votedKeywords_레인이 많아요,votedKeywords_관리 효과가 좋아요,votedKeywords_분위기가 편안해요,votedKeywords_시술이 꼼꼼해요,votedKeywords_즐길 거리가 많아요,votedKeywords_부대시설이 잘 되어있어요,votedKeywords_기구가 다양해요,votedKeywords_마사지가 시원해요,votedKeywords_예약이 편리해요,votedKeywords_디자인이 멋져요,votedKeywords_선물하기 좋아요,votedKeywords_빵이 맛있어요,votedKeywords_반려동물과 가기 좋아요,votedKeywords_재료가 신선해요,votedKeywords_매장이 넓어요,votedKeywords_물고기가 많이 잡혀요,votedKeywords_어종이 다양해요,votedKeywords_수질이 좋아요,votedKeywords_품질이 좋아요,votedKeywords_타석이 넓어요,votedKeywords_대기 시스템이 편리해요,votedKeywords_휴게시설이 잘 되어있어요,votedKeywords_양이 많아요,votedKeywords_혼밥하기 좋아요,votedKeywords_특별한 날 가기 좋아요,votedKeywords_포장이 깔끔해요,votedKeywords_제철 과일이 빨리 나와요,votedKeywords_특색 있는 제품이 많아요,votedKeywords_동물을 배려한 환경이에요,votedKeywords_컨셉이 독특해요,votedKeywords_셔틀버스가 잘 되어있어요,votedKeywords_비싼 만큼 가치있어요,votedKeywords_기구가 청결해요,votedKeywords_운전이 쉬워요,votedKeywords_초보자에게도 적합해요,votedKeywords_맞춤 수업을 잘해줘요,votedKeywords_설명이 자세해요,votedKeywords_원데이 클래스가 알차요,votedKeywords_수업 시간이 충분해요,votedKeywords_수심이 다양해요,votedKeywords_세트 구성이 알차요,votedKeywords_비주얼이 좋아요
17032791,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876072168,,255.0,,,,,98.0,,,111.0,,,,,,,,,,,349.0,,,,,,,,,307.0,56.0,16.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11583650,,357.0,,,,,63.0,76.0,227.0,,,22.0,,461.0,,,,,,,268.0,,,,,,,,,492.0,,,,,,,,,,,,,,,,,529.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989476,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829863449,228.0,356.0,,,269.0,,96.0,82.0,,,,,,,,,,,,,,,,,,,,,,604.0,376.0,7.0,3.0,,,,,,,,,,,,,,,,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17085499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13481076,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365089521,,186.0,,,34.0,,108.0,,,44.0,,,,,,,,,,,302.0,,,,,3.0,,,,198.0,82.0,11.0,6.0,9.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11656926,,296.0,,,,,96.0,69.0,269.0,,,7.0,,500.0,,,,,,,405.0,,,,,,,,,485.0,,,,,,,,,,,,,,,,,173.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32378272,,147.0,,,,,67.0,,,123.0,,,,,,,,,,,86.0,,,,,,,,,125.0,71.0,80.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436374298,,4.0,,,,,1.0,1.0,8.0,,,,,4.0,,,,,,,2.0,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425717103,8.0,,,,,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,18.0,16.0,12.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34647096,,220.0,,,,,27.0,51.0,193.0,,,4.0,,388.0,,,,,,,207.0,,,,,,,,,227.0,,,,,,,,,,,,,,,,,86.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17048171,,53.0,,,,,12.0,8.0,71.0,,,3.0,,78.0,,,,,,,38.0,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36194405,,81.0,,,,,25.0,,,3.0,,,,,,,,,,,68.0,,,,,113.0,,,,,11.0,,,64.0,65.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13028494,,910.0,,,,,637.0,,,373.0,,,,,,,,,,,267.0,,,,,,,,,907.0,415.0,94.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30995351,38.0,9.0,,,,17.0,5.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,18.0,7.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17063446,,,,,,32.0,5.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,9.0,25.0,7.0,,,,,,,,,,,,,,,,,,9.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37933227,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33907116,,359.0,,,,,121.0,,,127.0,,,,,,,,,,,35.0,,,,,133.0,,,,,527.0,,,445.0,400.0,252.0,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437340,,,,,,3.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11621150,,4.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,4.0,4.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261894998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17076269,,3.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961414272,,492.0,,,,,61.0,,,244.0,,,,,,,,,,,321.0,,,,,,,,,611.0,204.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13136978,,139.0,,,,242.0,53.0,,244.0,53.0,,,,,,,,,,,,,,7.0,,,,,,,74.0,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,30.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11734123,,83.0,,,,,27.0,,,16.0,,,,,,,,,,,39.0,,,,,25.0,,,,,36.0,,,86.0,84.0,39.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12047800,,600.0,,,,,114.0,124.0,661.0,,,22.0,,1235.0,,,,,,,1166.0,,,,,,,,,909.0,,,,,,,,,,,,,,,,,,195.0,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31234634,,13.0,,,,,17.0,,,,,,,,,,,,,,,,,6.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,12.0,9.0,6.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11555793,,324.0,,,,,105.0,,,126.0,,,,,,,,,,,317.0,,,,,,,,,485.0,62.0,27.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931001790,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213904047,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12995388,,35.0,,,,,46.0,5.0,1.0,,1.0,2.0,,2.0,,,,,,,14.0,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241932478,,24.0,,,,54.0,20.0,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,,9.0,,,,8.0,,,,,,,,,,,17.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11562701,,133.0,,,,,53.0,,,8.0,,,,,,,,,,,213.0,,,,,86.0,,,,,6.0,,,46.0,73.0,9.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11621632,,101.0,,,,,119.0,,,13.0,,,,,,,,,,,49.0,,,,,57.0,,,,,87.0,,,63.0,69.0,34.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759003205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349894872,,42.0,,,,,12.0,,,41.0,,,,,,,,,,,89.0,,,,,,,,,124.0,8.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19484849,,23.0,,,,,5.0,,,3.0,,,,,,,,,,,18.0,,,,,19.0,,,,,5.0,,,14.0,18.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12978248,,183.0,,,,,35.0,,,27.0,,,,,,,,,,,169.0,,,,,101.0,,,,,47.0,,,123.0,110.0,29.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
